Glycan_ID	Glycan_Structure
G_58	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_59	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_60	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}
G_61	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_62	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
G_63	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_64	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
G_65	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_66	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_67	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_68	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_69	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
G_70	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
G_71	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
G_72	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_73	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_74	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_75	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}
G_76	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}
G_77	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
G_78	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}
